,url,autor,fecha,titulo,subtitulo,resumen,tags
18,https://www.pagina12.com.ar/529877-violencia-en-rosario-con-la-policia-en-la-mira-exigen-una-re,No se pudo obtener el autor,2023-03-08,"Violencia en Rosario: con la policía en la mira, exigen una reforma de las fuerzas de seguridad",Apuntan a la connivencia por la avanzada narco,"""No hay manera de morigerar los niveles de violencia urbana que estamos viviendo sin esta intervención sobre la fuerza"", afirmó el diputado nacional del Frente de Todos y secretario general del PJ Santa Fe, Eduardo Toniolli.","['Rosario', 'Alberto Fernández', 'Narcotráfico', 'Santa Fe', 'Rosario', 'Alberto Fernández', 'Narcotráfico', 'Santa Fe']"
19,https://www.pagina12.com.ar/secciones/salta12,No se pudo obtener el autor,No se pudo obtener la fecha,Salta12,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
20,https://www.pagina12.com.ar/529750-ochy-curiel-el-feminismo-blanco-hegemonico-aun-hoy-asume-que,Por Federico Pita,2023-03-08,"Ochy Curiel: ""El feminismo blanco hegemónico, aún hoy, asume que todas las mujeres somos iguales y que en ese sentido tenemos que luchar solo por cuestiones de género""",8M antirracista,"Rosa Ynés Curiel Pichardo, mejor conocida como Ochy Curiel, es una de las más lúcidas exponentes del feminismo latinoamericano y caribeño. Doctora en Antropología social, cofundadora de Grupo Latinoamericano de Estudios, Formación y Acción Feminista (GLEFAS), cantautora y activista, Ochy Curiel se define como feminista decolonial antirracista, invitándonos a una lectura profunda y compleja sobre los feminismos y la realidad latinoamericana y a seguir politizando la alegría.","['8M', 'Paro de mujeres', 'Día Internacional de la Mujer', '8M', 'Paro de mujeres', 'Día Internacional de la Mujer']"
21,https://www.pagina12.com.ar/autores/5284-marcelo-justo,No se pudo obtener el autor,No se pudo obtener la fecha,Marcelo Justo,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
22,https://www.pagina12.com.ar/autores/129220-pablo-mendez-shiff,No se pudo obtener el autor,No se pudo obtener la fecha,Pablo Mendez Shiff,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
23,https://www.pagina12.com.ar/529401-nueva-denuncia-por-abuso-sexual-contra-un-cura-catamarqueno,No se pudo obtener el autor,2023-03-07,Nueva denuncia por abuso sexual contra un cura catamarqueño ,Eduardo López Márquez también está acusado por corrupción de niños,"Los
sometía luego de alcoholizarlos. También participaba otro cura ya fallecido de los ultrajes.","['Abuso sexual eclesiástico', 'Abuso sexual eclesiástico']"
24,https://www.pagina12.com.ar/autores/250-adrian-de-benedictis,No se pudo obtener el autor,No se pudo obtener la fecha,Adrián De Benedictis,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
25,https://www.pagina12.com.ar/530271-otros-numeros-otra-respuesta,No se pudo obtener el autor,2023-03-10,"Otros números, otra respuesta",El gobierno provincial mejoró la oferta salarial al sector público,"El aumento llega al 40%. UPCN y ATE la aceptarán. En el caso de los docentes, llega al 43,15% con los fondos nacionales. ",[]
26,https://www.pagina12.com.ar/530366-anses-los-pagos-de-hoy-viernes-10-de-marzo-para-los-jubilado,No se pudo obtener el autor,2023-03-10,ANSES: los pagos de hoy viernes 10 de marzo para los Jubilados,Jubilados de ANSES hoy viernes 10 de marzo: quiénes cobran,,"['Anses', 'Jubilados', 'jubilaciones', 'Anses', 'Jubilados', 'jubilaciones']"
27,https://www.pagina12.com.ar/530458-partidos-de-hoy-fecha-7-de-la-liga-profesional,No se pudo obtener el autor,2023-03-10,Partidos de hoy: fecha 7 de la Liga Profesional,Primera división del fútbol argentino,"Barracas Central recibe a Independiente, Argentinos Juniors a Arsenal e Instituto a Atlético Tucumán. ","['Liga Profesional 2023', 'Independiente', 'Argentinos Juniors', 'Liga Profesional 2023', 'Independiente', 'Argentinos Juniors']"
28,https://carasycaretas.org.ar/web-stories/teatro-colon/,No se pudo obtener el autor,No se pudo obtener la fecha,No se pudo obtener el título,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
29,https://www.pagina12.com.ar/530452-a-un-ano-del-ataque-al-despacho-de-cristina-kirchner,No se pudo obtener el autor,2023-03-10,A un año del ataque al despacho de Cristina Kirchner,Paso a paso de cómo fue el destrozo de la oficina de la vice,CFK reaparece en público luego de que se conocieran los fundamentos del fallo de la Causa Vialidad. Pero este día también se cumple un aniversario de la agresión que sufrió la titular del Senado mientras se trataba el acuerdo con el Fondo Monetario. Qué pasó con la causa judicial.,"['Cristina Kirchner', 'Cristina Kirchner']"
30,https://www.pagina12.com.ar/autores/400-Angel-berlanga,No se pudo obtener el autor,No se pudo obtener la fecha,Ángel Berlanga,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
31,https://www.pagina12.com.ar/secciones/audiovisuales,No se pudo obtener el autor,No se pudo obtener la fecha,Audiovisuales,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
32,https://www.pagina12.com.ar/530178-mario-alberto-godoy-juan-carlos-monges,No se pudo obtener el autor,2023-03-10,"Mario Alberto Godoy, Juan Carlos Monges",Los recordatorios de hoy,"Desde hace más de 30 años, Página/12 publica a diario los recordatorios de los desaparecidos y las desaparecidas que sus familias y amigos acercan a nuestra redacción en cada aniversario. Con el mismo compromiso que hemos asumido en todos estos años, ahora también tienen un lugar en nuestra web",[]
33,https://www.pagina12.com.ar/528182-el-futuro-de-edesur,Por Marcelo Justo,2023-03-05,¿El futuro de Edesur? ,La recuperación de servicios desde el ámbito municipal,"Hay más de 1600 compañías privadas de servicios en todo el mundo que fueron remunicipalizados. Son sobre todo de agua y energía. Los resultados son servicios más eficientes, más accesibles y menos costosos.","['Edesur', 'Edesur']"
34,https://www.pagina12.com.ar/528229-el-rescate-del-disco-perdido-de-un-grupo-de-la-segunda-gener,No se pudo obtener el autor,2023-03-05,El rescate del disco perdido de un grupo de la segunda generación del punk argentino,"Treinta y cinco años después de su separación, Descontrol finalmente edita en vinilo su único disco, grabado a fines de 1987","Ausentes del compilado Invasión ’88, se terminaron separando sin llegar a trascender ni dejar testimonio discográfico de su existencia... hasta ahora. Primer grupo de Ariel Minimal, compañeros de generación de Attaque 77 y Sentimiento Incontrolable, la edición permite reconstruir su parte de la historia. ","['punk argentino', 'Attaque 77', 'Ariel Minimal', 'punk argentino', 'Attaque 77', 'Ariel Minimal']"
35,https://elplanetaurbano.com/2023/03/fila-te-anticipa-cuales-seran-los-shows-mas-calientes-de-lollapalooza-argentina-2023/,No se pudo obtener el autor,2021-08-10,FILA te anticipa cuáles serán los shows más calientes de Lollapalooza Argentina 2023,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
36,https://www.pagina12.com.ar/530342-la-universidad-catolica-de-salta-creo-una-diplomatura-para-p,Por Maira López,2023-03-10,"La Universidad Católica de Salta creó una diplomatura para ""prevenir"" abortos legales ",Preocupación desde la Red de Profesionales por el Derecho a Decidir,"Varios integrantes del equipo docente son reconocidos antiderechos, como el caso del médico salteño Carlos Cristian Franco, quien apoyó y organizó la visita a Salta del médico ginecólogo rionegrino Leandro Rodríguez Lastra, condenado por impedir la práctica de un aborto legal a una joven de 19 años.","['aborto legal', 'Ucasal', 'Red de Profesionales por el Derecho ', 'aborto legal', 'Ucasal', 'Red de Profesionales por el Derecho ']"
