,url,autor,fecha,titulo,subtitulo,resumen,tags
0,https://www.pagina12.com.ar/530532-jonah-schwartz-un-banjo-contra-el-bajon,Por Julia González,2023-03-10,"Jonah Schwartz, un banjo contra el bajón","El ex Los Alamos, Springlizard, Val Veneto y Los Palos Borrachos reactiva Diente de Madera","Mañana toca para presentar Sand, segundo EP de su proyecto folk, que incorpora sonidos, instrumentos y técnicas de la India.",[]
1,https://carasycaretas.org.ar/2023/03/06/el-sol-rojo-del-25/,No se pudo obtener el autor,No se pudo obtener la fecha,Caras y Caretas,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
2,https://www.pagina12.com.ar/530507-melita-ruth-martin-carrasco-francisca-delica-torres,No se pudo obtener el autor,2023-03-11,"Melita Ruth Martín Carrasco, Francisca Delica Torres",Los recordatorios de hoy,"Desde hace más de 30 años, Página/12 publica a diario los recordatorios de los desaparecidos y las desaparecidas que sus familias y amigos acercan a nuestra redacción en cada aniversario. Con el mismo compromiso que hemos asumido en todos estos años, ahora también tienen un lugar en nuestra web",[]
3,https://www.pagina12.com.ar/529115-la-guerra-rusia-ucrania-minuto-a-minuto,No se pudo obtener el autor,2023-03-10,"La guerra Rusia-Ucrania, minuto a minuto",Rusia volvió a atacar Zaporiyia,"El Ejército ruso ataco de nuevo en la noche del jueves la región ucraniana de Zaporiyia y su capital homónima, donde se encuentra la mayor central nuclear de Europa. Nuevamente miles de personas quedaron sin energía eléctrica.","['Conflicto Rusia Ucrania', 'Vladimir Putin', 'Volodimir Zelenski', 'Conflicto Rusia Ucrania', 'Vladimir Putin', 'Volodimir Zelenski']"
4,https://www.pagina12.com.ar/suplementos/cultura-y-espectaculos,No se pudo obtener el autor,No se pudo obtener la fecha,No se pudo obtener el título,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
5,https://www.pagina12.com.ar/530297-nueve-intendentes-ya-se-bajaron-de-la-reeleccion,No se pudo obtener el autor,2023-03-09,Nueve intendentes ya se bajaron de la reelección,Quiénes son los bonaerenses que no continuarán en sus municipios,"Cinco autoexcluidos y cuatro por presentarse como precandidatos a otro cargo, hoy conforman el primer grupo que no reelegirá. ¿Quiénes podrían tomar el mismo camino? ","['intendentes bonaerenses', 'Elecciones 2023', 'Municipios', 'intendentes bonaerenses', 'Elecciones 2023', 'Municipios']"
6,https://www.pagina12.com.ar/autores/1992-carolina-prieto,No se pudo obtener el autor,No se pudo obtener la fecha,Carolina Prieto,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
7,https://www.pagina12.com.ar/autores/218948-elena-corvalan,No se pudo obtener el autor,No se pudo obtener la fecha,Elena Corvalan,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
8,https://elplanetaurbano.com/2023/03/shakira-si-es-cuestion-de-confesar-me-he-creido-esa-fabula-de-que-una-mujer-definitivamente-necesita-a-un-hombre/,No se pudo obtener el autor,2021-08-10,"Shakira, si es cuestión de confesar: ""Me he creído esa fábula de que una mujer definitivamente necesita a un hombre""",No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
9,https://www.pagina12.com.ar/secciones/deportes,No se pudo obtener el autor,No se pudo obtener la fecha,No se pudo obtener el título,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
10,https://www.pagina12.com.ar/secciones/el-pais,No se pudo obtener el autor,No se pudo obtener la fecha,El país,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
