,url,autor,fecha,titulo,subtitulo,resumen,tags
0,https://www.pagina12.com.ar/529989-gisela-marziotta-visito-a-milagro-sala-es-muy-emocionante-en,No se pudo obtener el autor,2023-03-08,"Gisela Marziotta visitó a Milagro Sala: ""Es muy emocionante encontrarnos con luchadoras como ella""",La dirigente social está detenida ilegalmente desde enero de 2016,"En el Día de la Mujer, la diputada nacional mantuvo un diálogo con referentes de la Tupac Amaru en Jujuy. ""Milagro incomoda a sectores demasiado acostumbrados a manejar una provincia desigual"", expresó.","['Milagro Sala', 'Gisela Marziotta', 'Milagro Sala', 'Gisela Marziotta']"
1,https://www.pagina12.com.ar/autores/429847-martin-alomo,No se pudo obtener el autor,No se pudo obtener la fecha,Martín Alomo,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
2,https://www.pagina12.com.ar/autores/316198-dominique-galeano,No se pudo obtener el autor,No se pudo obtener la fecha,Dominique Galeano,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
3,https://www.pagina12.com.ar/529979-premios-oscar-2023-cuando-a-que-hora-y-en-que-canal-se-puede,No se pudo obtener el autor,2023-03-08,"Premios Oscar 2023: cuándo, a qué hora y en qué canal se puede ver la ceremonia",Una noche repleta de estrellas,"""Todo en Todas Partes al Mismo Tiempo"" es la producción más nominada. Por su parte, ""Argentina, 1985"" buscará quedarse con el premio a Mejor Película Internacional. Quiénes serán los presentadores y qué artistas actuarán en la gala.","['Premios Oscar', 'hollywood', 'Premios Oscar', 'hollywood']"
4,https://www.pagina12.com.ar/autores/393-alejandro-modarelli,No se pudo obtener el autor,No se pudo obtener la fecha,Alejandro Modarelli,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
5,https://www.pagina12.com.ar/406542-dia-de-la-mujer-por-que-se-conmemora-el-8-m,No se pudo obtener el autor,2023-03-07,Día Internacional de la Mujer: ¿por qué se conmemora el 8 de marzo?,Movilizaciones por el 8M en Argentina,Habrá movilizaciones en todo el país para recordar las luchas feministas. También está convocado un Paro Internacional de Mujeres.,"['8M', 'Día Internacional de la Mujer', 'Paro de mujeres', '8M', 'Día Internacional de la Mujer', 'Paro de mujeres']"
6,https://www.pagina12.com.ar/autores/895-matias-maximo,No se pudo obtener el autor,No se pudo obtener la fecha,Matias Maximo,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
7,https://octubretv.com/videos/peliculas/mujeres-invisibles/,No se pudo obtener el autor,No se pudo obtener la fecha,Access denied,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
8,https://www.pagina12.com.ar/suplementos/las12,No se pudo obtener el autor,No se pudo obtener la fecha,No se pudo obtener el título,No se pudo obtener el subtitulo,No se pudo obtener el resumen,[]
9,https://www.pagina12.com.ar/529961-dinamarca-abre-el-primer-cementerio-de-dioxido-de-carbono-im,No se pudo obtener el autor,2023-03-08,Dinamarca abre el primer cementerio de dióxido de carbono importado,En el mar del Norte ,,"['dióxido de carbono', 'Cambio climático', 'Dinamarca', 'dióxido de carbono', 'Cambio climático', 'Dinamarca']"
